Wizards.mp3
true
Trans Siberian Orchestra - Wizards of Winter
Classic
0	1,2,3,4,5,6,7,8		 [VERSE 01]
510	1	2,3,4,5,6,7,8	 [VERSE 01]
950	2		 [VERSE 01]
1148	3		 [VERSE 01]
1309	4	1	 [VERSE 01]
1788	5	2	 [VERSE 01]
1998	6	3	 [VERSE 01]
2193	7	4	 [VERSE 01]
2616	1	5	 [VERSE 01]
2807	2	6	 [VERSE 01]
3007	3	7	 [VERSE 01]
3397	4	1	 [VERSE 01]
3614	5	2	 [VERSE 01]
3799	6	3	 [VERSE 01]
4256	7	4	 [VERSE 01]
4567	1	5	 [VERSE 01]
4697	1,5	2,3,4,6,7,8	 [VERSE 01]
5158	2,6	1,5	 [VERSE 02]
5307	3,7	2,6	 [VERSE 02]
5485	4	3,7	 [VERSE 02]
5678	1,5	2,3,4,6,7,8	 [VERSE 02]
5888	2,6	1,5	 [VERSE 02]
6068	3,7	2,6	 [VERSE 02]
6239	4	3,7	 [VERSE 02]
6425	1,5	2,3,4,6,7,8	 [VERSE 02]
6589	2,6	1,5	 [VERSE 02]
6927	1	2,3,4,5,6,7,8	 [VERSE 01]
7096	2		 [VERSE 01]
7447	3		 [VERSE 01]
7658	4	1	 [VERSE 01]
7864	5	2	 [VERSE 01]
8272	6	3	 [VERSE 01]
8467	7	4	 [VERSE 01]
8678	1	5	 [VERSE 01]
9079	2	6	 [VERSE 01]
9271	3	7	 [VERSE 01]
9447	4	1	 [VERSE 01]
9848	5	2	 [VERSE 01]
10038	6	3	 [VERSE 01]
10224	7	4	 [VERSE 01]
10655	1	5	 [VERSE 01]
10854	2	6	 [VERSE 01]
11055	3	7	 [VERSE 01]
11487	4		 [VERSE 01]
11656	5	2	 [VERSE 01]
11927	7	1,2,3,4,5,6,8	 [VERSE 02]
12109	6		 [VERSE 02]
12274	5	7	 [VERSE 02]
12488	4	6	 [VERSE 02]
12687	3,7	5	 [VERSE 02]
12936	2,6	4	 [VERSE 02]
13089	1,5	3,7	 [VERSE 02]
13407	1,2	3,4,5	 [BRIDGE]
13517	3,4	1,2	
13627	5,6	3,4	
13743	7	5,6	 [BRIDGE]
13853	5,6	7	
13963	3,4	5,6	
14135	1,2	3,4	 [BRIDGE]
14245	3,4	1,2	
14355	5,6	3,4	
14528	7	5,6	 [BRIDGE]
14638	5,6	7	
14748	3,4	5,6	
14957	1,2	3,4	 [BRIDGE]
15067	3,4	1,2	
15177	5,6	3,4	
15348	7	5,6	 [BRIDGE]
15458	5,6	7	
15568	3,4	5,6	
15744	1,2	3,4	 [BRIDGE]
15854	3,4	1,2	
15964	5,6	3,4	
16155	7	5,6	 [BRIDGE]
16265	5,6	7	
16375	3,4	5,6	
16535	1,2	3,4	 [BRIDGE]
16645	3,4	1,2	
16755	5,6	3,4	
16965	7	5,6	 [BRIDGE]
17075	5,6	7	
17185	3,4	5,6	
17338	1,2	3,4	 [BRIDGE]
17448	3,4	1,2	
17558	5,6	3,4	
17752	7	5,6	 [BRIDGE]
17862	5,6	7	
17972	3,4	5,6	
18132	1,2	3,4	 [BRIDGE]
18388	7,6	1,2,3,4,5,6,8	 [VERSE 02]
18559	5	7	 [VERSE 02]
18816	4	6	 [VERSE 02]
18992	3	5	 [VERSE 02]
19167	2	4	 [VERSE 02]
19349	1	3	 [VERSE 02]
19558		2	 [VERSE 02]
19928	1,2	3,4,5,6,8	 [BRIDGE]
20038	3,4	1,2	
20148	5,6	3,4	
20258	7	5,6	 [BRIDGE]
20368	5,6	7	
20478	3,4	5,6	
20607	1,2	3,4	 [BRIDGE]
20717	3,4	1,2	
20827	5,6	3,4	
20978	7	5,6	 [BRIDGE]
21088	5,6	7	
21198	3,4	5,6	
21389	1,2	3,4	 [BRIDGE]
21499	3,4	1,2	
21609	5,6	3,4	
21783	7	5,6	 [BRIDGE]
21893	5,6	7	
22003	3,4	5,6	
22174	1,2	3,4	 [BRIDGE]
22284	3,4	1,2	
22394	5,6	3,4	
22600	7	5,6	 [BRIDGE]
22710	5,6	7	
22820	3,4	5,6	
22997	1,2	3,4	 [BRIDGE]
23107	3,4	1,2	
23217	5,6	3,4	
23385	7	5,6	 [BRIDGE]
23495	5,6	7	
23605	3,4	5,6	
23793	1,2	3,4	 [BRIDGE]
23903	3,4	1,2	
24013	5,6	3,4	
24197	7	5,6	 [BRIDGE]
24608	4	1,2,3,5,6,7,8	 [VERSE 02]
24668	8		Mini Riff
24758		8	Mini Riff
25229	3,5		 [VERSE 02]
25399	6,2	4	 [VERSE 02]
25552	7,1	3,5	 [VERSE 02]
25734	4	6,2	 [VERSE 02]
25904	3,5	7,1	 [VERSE 02]
26118	6,2	4	 [VERSE 02]
