04SilentNight.mp3
true
Glad - Silent Night
Glad
1429:1:2,3,4,5,6,7,8: [VERSE 01]
2029:2:1: [VERSE 01]
2765:3,1:2: [VERSE 01]
3493:4,2:3,1: [VERSE 01]
4229:5,3,1:4,2: [VERSE 01]
4996:6,4,2:5,3,1: [VERSE 01]
6820:7,5,3,1:6,4,2: [VERSE 01]
7605:6,4,2:7,5,3,1: [VERSE 01]
9548:7,5,3,1:6,4,2: [VERSE 01]
11020:6,4,2:7,5,3,1: [VERSE 01]
11764:7,5,3,1:6,4,2: [VERSE 01]
12628:6,4,2:7,5,3,1: [VERSE 01]
13332:7,5,3,1:6,4,2: [VERSE 01]
14092:6,4,2:7,5,3,1: [VERSE 01]
14796:7,5,3,1:6,4,2: [VERSE 01]
16436:6,4,2:7,5,3,1: [VERSE 01]
17340:7,5,3,1:6,4,2: [VERSE 01]
21484:6,4,2:7,5,3,1: [VERSE 02]
22644:7,5,3,1:6,4,2: [VERSE 02]
22989:6,4,2:7,5,3,1: [VERSE 02]
23732:7,5,3,1:6,4,2: [VERSE 02]
26076:6,4,2:7,5,3,1: [VERSE 02]
27236:7,5,3,1:6,4,2: [VERSE 02]
27564:6,4,2:7,5,3,1: [VERSE 02]
28341:7,5,3,1:6,4,2: [VERSE 02]
30733:6,4,2:7,5,3,1: [VERSE 02]
32196:7,5,3,1:6,4,2: [VERSE 02]
32997:6,4,2:7,5,3,1: [VERSE 02]
35340:7,5,3,1:6,4,2: [VERSE 02]
36924:6,4,2:7,5,3,1: [VERSE 02]
37780:7,5,3,1:6,4,2: [VERSE 02]
40133:6,4,2:7,5,3,1: [VERSE 02]
41612:7,5,3,1:6,4,2: [VERSE 02]
42445:6,4,2:7,5,3,1: [VERSE 02]
43580:7,5,3,1:6,4,2: [VERSE 02]
43957:6,4,2:7,5,3,1: [VERSE 02]
44780:7,5,3,1:6,4,2: [VERSE 02]
46028:6,4,2:7,5,3,1: [VERSE 02]
46380:7,5,3,1:6,4,2: [VERSE 02]
47173:6,4,2:7,5,3,1: [VERSE 02]
49716:7,5,3,1:6,4,2: [VERSE 02]
51213:6,4,2:7,5,3,1: [VERSE 02]
52124:7,5,3,1:6,4,2: [VERSE 02]
53117:6,4,2:7,5,3,1: [VERSE 02]
53484:7,5,3,1:6,4,2: [VERSE 02]
54252:6,4,2:7,5,3,1: [VERSE 02]
55349:7,5,3,1:6,4,2: [VERSE 02]
55709:6,4,2:7,5,3,1: [VERSE 02]
56622:7,5,3,1:6,4,2: [VERSE 02]
59125:6,4,2:7,5,3,1: [VERSE 02]
60605:7,5,3,1:6,4,2: [VERSE 02]
61293:6,4,2:7,5,3,1: [VERSE 02]
62485:7,5,3,1:6,4,2: [VERSE 02]
62804:6,4,2:7,5,3,1: [VERSE 02]
63526:7,5,3,1:6,4,2: [VERSE 02]
66044:6,4,2:7,5,3,1: [VERSE 02]
68589:7,5,3,1:6,4,2: [VERSE 02]
70036:6,4,2:7,5,3,1: [VERSE 02]
70860:7,5,3,1:6,4,2: [VERSE 02]
72020:6,4,2:7,5,3,1: [VERSE 02]
72412:7,5,3,1:6,4,2: [VERSE 02]
73300:6,4,2:7,5,3,1: [VERSE 02]
83180:7,5,3,1:6,4,2: [BRIDGE]
84772:6,4,2:7,5,3,1: [BRIDGE]
85580:7,5,3,1:6,4,2: [BRIDGE]
87980:6,4,2:7,5,3,1: [BRIDGE]
89444:7,5,3,1:6,4,2: [BRIDGE]
90164:6,4,2:7,5,3,1: [BRIDGE]
92548:7,5,3,1:6,4,2: [BRIDGE]
94100:6,4,2:7,5,3,1: [BRIDGE]
94812:7,5,3,1:6,4,2: [BRIDGE]
97364:6,4,2:7,5,3,1: [BRIDGE]
98949:7,5,3,1:6,4,2: [BRIDGE]
99644:6,4,2:7,5,3,1: [BRIDGE]
102132:7,5,3,1:6,4,2: [BRIDGE]
103765:6,4,2:7,5,3,1: [BRIDGE]
104484:7,5,3,1:6,4,2: [BRIDGE]
106044:6,4,2:7,5,3,1: [BRIDGE]
106805:7,5,3,1:6,4,2: [BRIDGE]
108492:6,4,2:7,5,3,1: [BRIDGE]
109173:7,5,3,1:6,4,2: [BRIDGE]
111740:6,4,2:7,5,3,1: [BRIDGE]
113125:7,5,3,1:6,4,2: [BRIDGE]
113845:6,4,2:7,5,3,1: [BRIDGE]
115444:7,5,3,1:6,4,2: [BRIDGE]
116244:6,4,2:7,5,3,1: [BRIDGE]
117364:7,5,3,1:6,4,2: [BRIDGE]
117756:6,4,2:7,5,3,1: [BRIDGE]
118540:7,5,3,1:6,4,2: [BRIDGE]
120917:6,4,2:7,5,3,1: [BRIDGE]
122380:7,5,3,1:6,4,2: [BRIDGE]
123084:6,4,2:7,5,3,1: [BRIDGE]
124172:7,5,3,1:6,4,2: [BRIDGE]
124556:6,4,2:7,5,3,1: [BRIDGE]
125373:7,5,3,1:6,4,2: [BRIDGE]
130372:6,4,2:7,5,3,1: [BRIDGE]
131685:7,5,3,1:6,4,2: [BRIDGE]
132444:6,4,2:7,5,3,1: [BRIDGE]
133700:7,5,3,1:6,4,2: [BRIDGE]
134148:6,4,2:7,5,3,1: [BRIDGE]
135036:7,5,3,1:6,4,2: [BRIDGE]
137500:6,4,2:7,5,3,1: [VERSE 02]
137821:7,5,3,1:6,4,2: [VERSE 02]
142165:6,4,2:7,5,3,1: [VERSE 02]
142988:7,5,3,1:6,4,2: [VERSE 02]
144636:6,4,2:7,5,3,1: [VERSE 02]
149500:7,5,3,1:6,4,2: [VERSE 01]
150628:6,4,2:7,5,3,1: [VERSE 01]
151012:7,5,3,1:6,4,2: [VERSE 01]
151924:6,4,2:7,5,3,1: [VERSE 01]
154412:7,5,3,1:6,4,2: [VERSE 01]
155460:6,4,2:7,5,3,1: [VERSE 01]
155860:7,5,3,1:6,4,2: [VERSE 01]
156668:6,4,2:7,5,3,1: [VERSE 01]
159100:7,5,3,1:6,4,2: [VERSE 01]
160652:6,4,2:7,5,3,1: [VERSE 01]
161444:7,5,3,1:6,4,2: [VERSE 01]
163668:6,4,2:7,5,3,1: [VERSE 01]
165092:7,5,3,1:6,4,2: [VERSE 01]
165917:6,4,2:7,5,3,1: [VERSE 01]
168340:7,5,3,1:6,4,2: [VERSE 01]
169820:6,4,2:7,5,3,1: [VERSE 01]
170500:7,5,3,1:6,4,2: [VERSE 01]
171604:6,4,2:7,5,3,1: [VERSE 01]
172228:7,5,3,1:6,4,2: [VERSE 01]
172893:6,4,2:7,5,3,1: [VERSE 01]
173684:7,5,3,1:6,4,2: [VERSE 01]
174500:6,4,2:7,5,3,1: [VERSE 01]
175252:7,5,3,1:6,4,2: [VERSE 01]
176148:6,4,2:7,5,3,1: [VERSE 01]
177660:7,5,3,1:6,4,2: [VERSE 01]
179181:6,4,2:7,5,3,1: [VERSE 01]
179948:7,5,3,1:6,4,2: [VERSE 01]
181173:6,4,2:7,5,3,1: [VERSE 01]
181493:7,5,3,1:6,4,2: [VERSE 01]
182276:6,4,2:7,5,3,1: [VERSE 01]
183836:7,5,3,1:6,4,2: [VERSE 01]
184700:6,4,2:7,5,3,1: [VERSE 01]
185548:7,5,3,1:6,4,2: [VERSE 01]
