10OneQuietMoment.mp3
true
Glad - One Quiet Moment
Glad
0	1,2,3,4,5,6,7,8		 [VERSE 01]
1380	1,5	2,3,4,6,7,8	 [VERSE 01]
1612	2,6	1,5	 [VERSE 01]
1893	3,7	2,6	 [VERSE 01]
2516	4	3,7	 [VERSE 01]
3957	1,5	2,3,4,6,7,8	 [VERSE 01]
4540	2,6	1,5	 [VERSE 01]
5276	3,7	2,6	 [VERSE 01]
5556	4	3,7	 [VERSE 01]
5956	1,5	2,3,4,6,7,8	 [VERSE 01]
6604	2,6	1,5	 [VERSE 01]
7972	3,7	2,6	 [VERSE 01]
8628	4	3,7	 [VERSE 01]
9308	1,5	2,3,4,6,7,8	 [VERSE 02]
10012	2,6	1,5	 [VERSE 02]
11060	3,7	2,6	 [VERSE 02]
11411	4	3,7	 [VERSE 02]
11684	1,5	2,3,4,6,7,8	 [VERSE 02]
12788	2,6	1,5	 [VERSE 02]
13076	3,7	2,6	 [VERSE 02]
13396	4	3,7	 [VERSE 02]
14740	1,5	2,3,4,6,7,8	 [VERSE 02]
15044	2,6	1,5	 [VERSE 02]
15388	3,7	2,6	 [VERSE 02]
17532	4	3,7	 [VERSE 02]
18220	1,5	2,3,4,6,7,8	 [VERSE 02]
19228	2,6	1,5	 [VERSE 02]
19580	3,7	2,6	 [VERSE 02]
20220	4	3,7	 [VERSE 02]
20932	1,5	2,3,4,6,7,8	 [VERSE 02]
21236	2,6	1,5	 [VERSE 02]
21596	3,7	2,6	 [VERSE 02]
22972	4	3,7	 [VERSE 02]
23252	1,5	2,3,4,6,7,8	 [VERSE 02]
23572	2,6	1,5	 [VERSE 02]
25020	3,7	2,6	 [VERSE 02]
25300	4	3,7	 [VERSE 02]
25669	1,5	2,3,4,6,7,8	 [VERSE 02]
26715	2,6	1,5	 [VERSE 02]
27268	3,7	2,6	 [VERSE 02]
27741	4	3,7	 [VERSE 02]
28181	1,5	2,3,4,6,7,8	 [VERSE 02]
29068	2,6	1,5	 [VERSE 02]
29395	3,7	2,6	 [VERSE 02]
29756	4	3,7	 [VERSE 02]
30372	1,5	2,3,4,6,7,8	 [VERSE 02]
31132	2,6	1,5	 [VERSE 02]
31883	3,7	2,6	 [VERSE 02]
33484	4	3,7	 [VERSE 02]
33811	1,5	2,3,4,6,7,8	 [VERSE 02]
34468	2,6	1,5	 [VERSE 02]
35524	3,7	2,6	 [VERSE 02]
35852	4	3,7	 [VERSE 02]
36163	1,5	2,3,4,6,7,8	 [VERSE 02]
37229	2,6	1,5	 [VERSE 02]
37549	3,7	2,6	 [VERSE 02]
37924	4	3,7	 [VERSE 02]
38652	1,5	2,3,4,6,7,8	 [VERSE 02]
39332	2,6	1,5	 [VERSE 02]
40060	3,7	2,6	 [VERSE 02]
41988	4	3,7	 [BRIDGE]
42957	1,5	2,3,4,6,7,8	 [BRIDGE]
44044	2,6	1,5	 [BRIDGE]
44332	3,7	2,6	 [BRIDGE]
44604	4	3,7	 [BRIDGE]
45724	1,5	2,3,4,6,7,8	 [BRIDGE]
46004	2,6	1,5	 [BRIDGE]
46355	3,7	2,6	 [BRIDGE]
47668	4	3,7	 [BRIDGE]
47971	1,5	2,3,4,6,7,8	 [BRIDGE]
48308	2,6	1,5	 [BRIDGE]
50068	3,7	2,6	 [BRIDGE]
50324	4	3,7	 [BRIDGE]
50989	1,5	2,3,4,6,7,8	 [BRIDGE]
52004	2,6	1,5	 [BRIDGE]
52300	3,7	2,6	 [BRIDGE]
52571	4	3,7	 [BRIDGE]
53659	1,5	2,3,4,6,7,8	 [BRIDGE]
53956	2,6	1,5	 [BRIDGE]
54300	3,7	2,6	 [BRIDGE]
55628	4	3,7	 [BRIDGE]
55916	1,5	2,3,4,6,7,8	 [BRIDGE]
56268	2,6	1,5	 [BRIDGE]
58341	3,7	2,6	 [BRIDGE]
59019	4	3,7	 [BRIDGE]
60051	1,5	2,3,4,6,7,8	 [BRIDGE]
60332	2,6	1,5	 [BRIDGE]
60644	3,7	2,6	 [BRIDGE]
61660	4	3,7	 [BRIDGE]
62004	1,5	2,3,4,6,7,8	 [BRIDGE]
62331	2,6	1,5	 [BRIDGE]
62980	3,7	2,6	 [BRIDGE]
63684	4	3,7	 [BRIDGE]
64340	1,5	2,3,4,6,7,8	 [BRIDGE]
65692	2,6	1,5	 [BRIDGE]
65996	3,7	2,6	 [BRIDGE]
66339	4	3,7	 [BRIDGE]
67019	1,5	2,3,4,6,7,8	 [BRIDGE]
67652	2,6	1,5	 [BRIDGE]
68388	3,7	2,6	 [BRIDGE]
69796	4	3,7	 [BRIDGE]
70083	1,5	2,3,4,6,7,8	 [BRIDGE]
70452	2,6	1,5	 [BRIDGE]
71124	3,7	2,6	 [BRIDGE]
71700	4	3,7	 [BRIDGE]
72604	1,5	2,3,4,6,7,8	 [BRIDGE]
74284	2,6	1,5	 [VERSE 02]
74595	3,7	2,6	 [VERSE 02]
74931	4	3,7	 [VERSE 02]
75604	1,5	2,3,4,6,7,8	 [VERSE 02]
76500	2,6	1,5	 [VERSE 02]
76787	3,7	2,6	 [VERSE 02]
77123	4	3,7	 [VERSE 02]
78668	1,5	2,3,4,6,7,8	 [VERSE 02]
78948	2,6	1,5	 [VERSE 02]
79219	3,7	2,6	 [VERSE 02]
80156	4	3,7	 [VERSE 02]
80900	1,5	2,3,4,6,7,8	 [VERSE 02]
82612	2,6	1,5	 [VERSE 02]
82923	3,7	2,6	 [VERSE 02]
83211	4	3,7	 [VERSE 02]
84148	1,5	2,3,4,6,7,8	 [VERSE 02]
84860	2,6	1,5	 [VERSE 02]
86261	3,7	2,6	 [VERSE 02]
86563	4	3,7	 [VERSE 02]
86891	1,5	2,3,4,6,7,8	 [VERSE 02]
87516	2,6	1,5	 [VERSE 02]
88211	3,7	2,6	 [VERSE 02]
88891	4	3,7	 [VERSE 02]
90556	1,5	2,3,4,6,7,8	 [VERSE 02]
90851	2,6	1,5	 [VERSE 02]
91459	3,7	2,6	 [VERSE 02]
92516	4	3,7	 [VERSE 02]
92859	1,5	2,3,4,6,7,8	 [VERSE 02]
93204	2,6	1,5	 [VERSE 02]
94228	3,7	2,6	 [VERSE 02]
94579	4	3,7	 [VERSE 02]
94917	1,5	2,3,4,6,7,8	 [VERSE 02]
95555	2,6	1,5	 [VERSE 02]
96275	3,7	2,6	 [VERSE 02]
96932	4	3,7	 [VERSE 02]
100668	1,5	2,3,4,6,7,8	 [VERSE 02]
100931	2,6	1,5	 [VERSE 02]
101571	3,7	2,6	 [VERSE 02]
102563	4	3,7	 [VERSE 02]
102963	1,5	2,3,4,6,7,8	 [VERSE 02]
103675	2,6	1,5	 [VERSE 02]
108684	3,7	2,6	 [VERSE 01]
108923	4	3,7	 [VERSE 01]
109556	1,5	2,3,4,6,7,8	 [VERSE 01]
110556	2,6	1,5	 [VERSE 01]
110836	3,7	2,6	 [VERSE 01]
112211	4	3,7	 [VERSE 01]
112523	1,5	2,3,4,6,7,8	 [VERSE 01]
112867	2,6	1,5	 [VERSE 01]
114244	3,7	2,6	 [VERSE 01]
114572	4	3,7	 [VERSE 01]
114851	1,5	2,3,4,6,7,8	 [VERSE 01]
