12BreakForthOBeauteo.mp3
true
Glad - Break Forth O Beauteous Heavenly Light
Glad
0	1,2,3,4,5,6,7,8		 [VERSE 01]
1020	1,7	2,3,4,5,6,8	 [VERSE 01]
1949	2,6		 [VERSE 01]
2845	3,5	1,7	 [VERSE 01]
3789	4	2,6	 [VERSE 01]
4212	1,7	3,5	 [VERSE 01]
4589	2,6	4	 [VERSE 01]
5485	3,5	1,7	 [VERSE 01]
6389	4	2,6	 [VERSE 01]
7229	1,7	3,5	 [VERSE 01]
9220	2,6	4	 [VERSE 01]
10005	3,5	1,7	 [VERSE 01]
10829	4	2,6	 [VERSE 01]
11661	1,7	3,5	 [VERSE 01]
12501	2,6	4	 [VERSE 01]
13492	3,5	1,7	 [VERSE 01]
14413	4	2,6	 [VERSE 01]
14790	1,7	3,5	 [VERSE 01]
15285	2,6	4	 [VERSE 01]
18213	3,5	1,7	 [VERSE 01]
18981	4	2,6	 [VERSE 01]
19733	1,7	3,5	 [VERSE 01]
20589	2,6	4	 [VERSE 01]
21469	3,5	1,7	 [VERSE 01]
22413	4	2,6	 [VERSE 01]
23213	1,7	3,5	 [VERSE 01]
24164	2,6	4	 [VERSE 01]
25980	3,5	1,7	 [VERSE 01]
26861	4	2,6	 [VERSE 01]
27717	1,7	3,5	 [VERSE 01]
28637	2,6	4	 [VERSE 01]
29501	3,5	1,7	 [VERSE 01]
30404	4	2,6	 [VERSE 01]
31757	1,7	3,5	 [VERSE 01]
32237	2,6	4	 [VERSE 01]
35108	3,5	1,7	 [VERSE 02]
35829	4	2,6	 [VERSE 02]
36693	1,7	3,5	 [VERSE 02]
37500	2,6	4	 [VERSE 02]
38364	3,5	1,7	 [VERSE 02]
39277	4	2,6	 [VERSE 02]
40189	1,7	3,5	 [VERSE 02]
41101	2,6	4	 [VERSE 02]
43045	3,5	1,7	 [VERSE 02]
43813	4	2,6	 [VERSE 02]
44677	1,7	3,5	 [VERSE 02]
45492	2,6	4	 [VERSE 02]
46389	3,5	1,7	 [VERSE 02]
47349	4	2,6	 [VERSE 02]
48237	1,7	3,5	 [VERSE 02]
49148	2,6	4	 [VERSE 02]
50149	3,5	1,7	 [VERSE 02]
51060	4	2,6	 [VERSE 02]
51924	1,7	3,5	 [VERSE 02]
52773	2,6	4	 [VERSE 02]
53661	3,5	1,7	 [VERSE 02]
54613	4	2,6	 [VERSE 02]
55549	1,7	3,5	 [VERSE 02]
56581	2,6	4	 [VERSE 02]
59533	3,5	1,7	 [BRIDGE]
60285	4	2,6	 [BRIDGE]
61284	1,7	3,5	 [BRIDGE]
62309	2,6	4	 [BRIDGE]
63325	3,5	1,7	 [BRIDGE]
64420	4	2,6	 [BRIDGE]
66957	1,2,3,4,5,6,7,8		 [BRIDGE]
75549	1,2,3,4,5,6,7,8		[END]
